confidence,id,metadata,source_id,target_id,type
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 17}",Task,li>Significant,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",1,1084,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 52}",end_index=7441,3,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 69}",end_index=7441,782,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",3,782,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 9}",China Chopper,4,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 5}",>China Chopper,two,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 30}",>China Chopper,China Chopper,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 22}",two,China Chopper,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 52}",China Chopper,China Chopper,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",1,1384,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 90}",summer 2018,CVE-2017-3066,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 88}",CVE-2017-3066,3,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 81}",Adobe ColdFusion,second,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",3,560,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 76}","href=""https://owasp.org",One,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 93}","href=""https://owasp.org",China Chopper,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 14}",One,China Chopper,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",4,938,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 97}",Transport Layer Security,China Chopper,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 5}",Linux,Windows,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",3,716,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",Hypertext Preprocessor,PHP,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 52}",end_index=12816,5,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 69}",end_index=12816,867,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",5,867,related_to
0.8,,"{""extraction_method"": ""dependency"", ""dependency_path"": ""ROOT -> ... -> pobj""}",Mimikatz,recent years,use
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",1,77,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 82}",Mimikatz,PowerShell Empire,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",1,1029,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 72}",Local Area Network,Windows XP,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 84}",Local Area Network,2003,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 98}",Local Area Network,Windows 8.1,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",Windows XP,2003,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",Windows XP,Windows 8.1,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 29}",Windows XP,2012r2,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 10}",2003,Windows 8.1,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 23}",2003,2012r2,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",Windows 8.1,2012r2,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 88}",Windows 8.1,Kerberos,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 80}",2012r2,Kerberos,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 44}",Kerberos,Mimikatz,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 92}",Kerberos,PowerShell,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 40}",Mimikatz,PowerShell,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 21}",Invoke-Mimikatz,Mimikatz,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 5}",several years,2011,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 93}",several years,Dutch,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 84}",2011,Dutch,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 24}",Dutch,DigiNotar,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 90}",DigiNotar,4,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",4,864,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 49}",DigiNotar,a month,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 44}",a month,Mimikatz,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 59}",Mimikatz,NotPetya,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 72}",Mimikatz,BadRabbit,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 5}",NotPetya,BadRabbit,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 37}",NotPetya,2017,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 87}",NotPetya,thousands,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 23}",BadRabbit,2017,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 73}",BadRabbit,thousands,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 46}",2017,thousands,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 33}",Microsoft,Mimikatz,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 52}",end_index=16440,2,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 69}",end_index=16440,702,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",2,702,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 10}",Mimikatz,Microsoft,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 72}",Mimikatz,Windows,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 53}",Microsoft,Windows,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 29}",Windows,Mimikatz,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 25}",2014-93434251-04ac,"target=""_blank",related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",2,956,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 15}",13,Windows 10,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 30}",13,Windows Server 2016,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 5}",Windows 10,Windows Server 2016,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 92}",Windows 10,Credential Guard.</p>\n,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 68}",Windows Server 2016,Credential Guard.</p>\n,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 93}",Windows Server 2016,>Credential Guard,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",Credential Guard.</p>\n,>Credential Guard,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 86}",Credential Guard.</p>\n,Microsoft,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 98}",Credential Guard.</p>\n,Windows Hardware Compatibility Program Specifications,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 67}",>Credential Guard,Microsoft,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 79}",>Credential Guard,Windows Hardware Compatibility Program Specifications,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 3}",Microsoft,Windows Hardware Compatibility Program Specifications,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 89}",Microsoft,2016,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 98}",Microsoft,Windows Server Semi-Annual,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 33}",Windows Hardware Compatibility Program Specifications,2016,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 42}",Windows Hardware Compatibility Program Specifications,Windows Server Semi-Annual,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 88}",Windows Hardware Compatibility Program Specifications,li,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 5}",2016,Windows Server Semi-Annual,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 51}",2016,li,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 20}",Windows Server Semi-Annual,li,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 6}",Microsoft,"href=""https://learn.microsoft.com",related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 5}",Windows 10,Windows,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",3,867,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 6}",Local Administrator Password Solution,Microsoft,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 71}",Kerberos,Windows,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 94}",Kerberos,Microsoft Advanced Threat Analytics,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",Windows,Microsoft Advanced Threat Analytics,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",4,846,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 33}",Mimikatz,third,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 68}",Mimikatz,Wherever Mimikatz,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",4,797,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 91}",Securing Active,PowerShell,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",2,743,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",>Lateral Movement Framework,PowerShell,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 5}",Cobalt Strike,Metasploit,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 17}",Cobalt Strike,PowerShell Empire,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",Metasploit,PowerShell Empire,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 68}",PowerShell Empire,2015,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 74}",PowerShell Empire,PowerShell Empire,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",2015,PowerShell Empire,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 52}",end_index=21635,6,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 69}",end_index=21635,982,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",6,982,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 45}",PowerShell,PowerShell Empire,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 82}",PowerShell Empire,end_index=22439,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 52}",end_index=22439,4,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 69}",end_index=22439,804,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",4,804,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",2,662,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 4}",February 2018,UK,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 83}",PowerShell Empire,one,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 31}",early 2018,Winter Olympics,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",4,926,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 34}",PowerShell,December 2017,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 90}",December 2017,PowerShell,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 24}",PowerShell,Microsoft Word,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 99}",Microsoft Word,PowerShell Empire,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 52}",one,PowerShell Empire,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",3,634,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 63}",PowerShell,PowerShell,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 23}",PowerShell,end_index=25473,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 90}",PowerShell,2,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 52}",end_index=25473,2,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 69}",end_index=25473,809,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",2,809,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 24}",PowerShell,"href=""https://reliaquest.com/blog",related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 43}",Windows,PowerShell,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 52}",end_index=26367,4,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 69}",end_index=26367,893,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",4,893,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 42}",PowerShell,C2 Obfuscation and Exfiltration: HUC Packet,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 86}",Tor,HTran,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 49}",HTran,Transmission Control Protocol,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 80}",HTran,TCP,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",Transmission Control Protocol,TCP,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 21}",at least 2009.</p>\n,TCP,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",4,872,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 49}",HTran,li>Evade,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 9}",li>Obfuscate,C2,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 57}",li>Obfuscate,li>Create,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 46}",C2,li>Create,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 79}",C2,C2,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 24}",li>Create,C2,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",1,943,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 61}",TCP,three,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 94}",tran)</strong> - One,first,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 33}",Windows,HTran,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",5,916,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 84}",HTran,80,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",3,918,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 55}",HTran,several months,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 84}",HTran,detected.</li>\n</ul>\n,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 15}",several months,detected.</li>\n</ul>\n,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 33}",TCP,HTran,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",3,957,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",2,629,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",1,373,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 47}",Business Guide,five,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 93}",Business Guide,UK,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 42}",five,UK,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 26}",two,two,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",1,1011,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 36}",Software,Software,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 65}",Software,UK,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",1,1198,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",1,946,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 41}",li>Manage,UK,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",4,943,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 57}",third,UK,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 52}",end_index=36816,3,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 69}",end_index=36816,737,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",3,737,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",1,342,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 66}",Office,UK,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 57}",UK,UK,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 60}",UK,NCSC’s Macro Security,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 86}",UK,Microsoft Office Guidance,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 5}",NCSC’s Macro Security,Microsoft Office Guidance,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 28}",Microsoft,Microsoft,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",3,891,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 25}",Anti-Virus,Anti-Virus Software</a>.<br>See,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 57}",Microsoft,li>Layer,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",li>Treat,first,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",6,915,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 5}",Social Engineering,"Phishing Attacks"">Avoiding Social Engineering and Phishing",related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",1,710,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",2,424,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 30}",1,1,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 67}",1,li>Make,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",1,1041,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",1,330,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 11}",li>ACSC,Eight,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 53}","target=""_blank",li>,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 46}",li>,10,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 26}",10,10,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 74}",10,Hygiene - Cyber,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 39}",Hygiene - Cyber,Critical Controls 2018,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 7}",New Zealand,11,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 99}",National Cyber Security Centre,1,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",1,1213,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 0}",li>,UK,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 3}",li>,NCSC,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 1}",UK,NCSC,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 6}",UK,10,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 1}",NCSC,10,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 4}","Cyber Security"">10 Steps",Cyber,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 30}","Cyber Security"">10 Steps",li>,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 33}","Cyber Security"">10 Steps",UK,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 56}","Cyber Security"">10 Steps",five,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 80}","Cyber Security"">10 Steps",board\,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 21}",Cyber,li>,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 24}",Cyber,UK,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 47}",Cyber,five,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 71}",Cyber,board\,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 23}",li>,five,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 47}",li>,board\,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 21}",UK,five,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 45}",UK,board\,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 20}",five,board\,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 52}",end_index=43752,1,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 69}",end_index=43752,1061,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",1,1061,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",the United States,+1-703,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 52}",end_index=44502,2,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 69}",end_index=44502,749,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 16}",2,749,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 2}",National Cyber Security Centre,NZ,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 24}",National Cyber Security Centre,National Cyber Security Centre,related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 79}",National Cyber Security Centre,"href=""https://www.ncsc.gov.uk/",related_to
0.6,,"{""extraction_method"": ""co_occurrence"", ""distance"": 20}",NZ,National Cyber Security Centre,related_to
